Order Number,Order Type,Asset Type,Fiat Type,Total Price,Price,Quantity,Exchange rate,Maker Fee,Taker Fee,Couterparty,Status,Created Time
20361253647287783424,Sell,USDT,EUR,262.9,0.956,275,,"",0E-8,"",Completed,2022-05-21 08:59:45
20361254007502086144,Sell,USDT,EUR,190.6,0.953,200,,"",0E-8,"",Completed,2022-05-21 09:01:11
20361626761302937600,Sell,USDT,EUR,277.82,0.958,290,,"",0E-8,"",Completed,2022-05-22 09:42:23
20361936222245179392,Sell,USDT,CHF,230,0.903,254.7,0.97,"",0E-8,"",Completed,2022-05-23 06:12:04
20363187440396025856,Sell,USDT,CHF,674.215,0.893,755,0.96,"",0E-8,"",Completed,2022-05-26 17:03:58
20365018633946963968,Sell,USDT,EUR,283.8,0.946,300,,"",0E-8,"",Completed,2022-05-31 18:20:28
20365971698879016960,Sell,USDT,CHF,62.65,0.895,70,,"",0E-8,"",Completed,2022-06-03 09:27:37
20366004395207118848,Sell,USDT,EUR,196.35,0.935,210,,"",0E-8,"",Completed,2022-06-03 11:37:32
20379200837089910784,Sell,USDT,CHF,29.462,0.88,33.47,,"",0E-8,"",System cancelled,2022-07-09 21:35:28
20379330783326146560,Sell,USDT,CHF,29.462,0.88,33.47,,"",0E-8,"",Completed,2022-07-10 06:11:50
20379350051885682688,Sell,USDT,EUR,31.438,0.962,32.67,,"",0E-8,"",Completed,2022-07-10 07:28:24
20379363519213613056,Sell,USDT,EUR,22.15,0.956,23.17,,"",0E-8,"",Completed,2022-07-10 08:21:55
20379443185516359680,Sell,USDT,CHF,90.3,0.903,100,0.98,"",0E-8,"",System cancelled,2022-07-10 13:38:29
20379454617178521600,Sell,USDT,EUR,91.2,0.912,100,,"",0E-8,"",Completed,2022-07-10 14:23:55
20379494871898005504,Sell,USDT,EUR,76.913,0.925,83.15,,"",0E-8,"",Completed,2022-07-10 17:03:52
20385166961188134912,Buy,USDT,EUR,1200,0.983,1220.75,,"",0E-8,"",Cancelled,2022-07-26 08:42:43
20385167582533062656,Sell,USDT,EUR,882.9,0.981,900,,"",0E-8,"",Completed,2022-07-26 08:45:12
20385168018157674496,Sell,USDT,EUR,227.008,0.982,231.16,,"",0E-8,"",Completed,2022-07-26 08:46:56
20386312942963040256,Sell,USDT,EUR,296.4,0.988,300,,"",0E-8,"",Completed,2022-07-29 12:36:27
20392946913481142272,Sell,USDT,EUR,75.628,0.985,76.77,,"",0E-8,"",System cancelled,2022-08-16 19:57:28
20392950834529726464,Sell,USDT,EUR,75.551,0.984,76.77,,"",0E-8,"",Completed,2022-08-16 20:13:03
20393172611713421312,Sell,USDT,EUR,47.793,0.983,48.61,,"",0E-8,"",Completed,2022-08-17 10:54:19
20393921725840363520,Sell,USDT,EUR,78.881,0.988,79.83,,"",0E-8,"",Completed,2022-08-19 12:31:02
20394333303900348416,Sell,USDT,EUR,16.924,0.995,17,,"",0E-8,"",Completed,2022-08-20 15:46:30
20408112531864522752,Sell,USDT,EUR,1543.51,1.029,1500,,"",0E-8,"",System cancelled,2022-09-27 16:20:14
20408129029610295296,Sell,USDT,EUR,1499.991,1.031,1454.89,,"",0E-8,"",Completed,2022-09-27 17:25:47
20408208730397564928,Sell,USDT,EUR,524.216,1.036,506,,"",0E-8,"",Completed,2022-09-27 22:42:29
20408473735375491072,Sell,USDT,EUR,957.098,1.038,922.06,,"",0E-8,"",System cancelled,2022-09-28 16:15:32
20408478127878332416,Sell,USDT,EUR,416,1.04,400,,"",0E-8,"",Completed,2022-09-28 16:32:59
20408481576181854208,Sell,USDT,EUR,956.176,1.037,922.06,,"",0E-8,"",System cancelled,2022-09-28 16:46:41
20408498364723953664,Sell,USDT,EUR,2298.687,1.032,2227.41,,"",0E-8,"",Completed,2022-09-28 17:53:23
20408817313543749632,Sell,USDT,EUR,1542.991,1.026,1503.88,,"",0E-8,"",Completed,2022-09-29 15:00:47
20412846017689755648,Sell,USDT,EUR,13.494,1.02,13.23,1.03,"",0E-8,"",Completed,2022-10-10 17:49:25
20427409700779528192,Sell,USDT,EUR,18.489,0.931,19.86,,"",0E-8,"",Completed,2022-11-19 22:20:17
20439278415009435648,Sell,USDT,EUR,282.928,0.943,300.03,,"",0E-8,"",Completed,2022-12-22 16:22:19
20439481489267425280,Sell,USDT,EUR,56.777,0.936,60.66,,"",0E-8,"",Completed,2022-12-23 05:49:16
20439495737313173504,Sell,USDT,EUR,45.766,0.934,49,,"",0E-8,"",Completed,2022-12-23 06:45:53
20440672504358182912,Sell,USDT,EUR,14.09,0.935,15.07,0.94,"",0E-8,"",Completed,2022-12-26 12:41:56
20510427831277760512,Sell,USDT,CHF,64.123,0.752,85.27,,"",0E-8,"",System cancelled,2023-07-07 00:24:42
20510624356564738048,Sell,USDT,USD,110.86,0.964,115,,"",0E-8,"",Completed,2023-07-07 13:25:37
20511318516411523072,Sell,USDT,USD,29.86,0.905,33,,"",0E-8,"",Completed,2023-07-09 11:23:58
20537129558506553344,Sell,USDT,EUR,102.373,0.935,109.49,,"",0E-8,"",Completed,2023-09-18 16:47:50
20539683783978291200,Sell,USDT,EUR,20.57,0.935,22,,"",0E-8,"",Completed,2023-09-25 17:57:25
22726694663046709248,Sell,USDT,CHF,89.555,0.896,99.95,0.90,"",0.05,PeterEU,Completed,2025-02-22 19:11:53
22728882816582467584,Sell,USDT,CHF,10,0.831,12.03,,"",0.05,Switzerland1,Completed,2025-02-28 20:06:49
